,kernel,c,gamma,precision,accuracy,recall,f1_score,score,Standardize
0,rbf,0.2,0.5700000000000001,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
0,rbf,0.2,0.5800000000000001,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
0,rbf,0.2,0.59,0.8333333333333334,0.719626168224299,0.43478260869565216,0.5714285714285714,0.719626168224299,True
0,rbf,0.2,0.6,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.61,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.62,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.63,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.64,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.65,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.66,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.67,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.68,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.6900000000000001,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.7000000000000001,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.7100000000000001,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.72,0.8260869565217391,0.7102803738317757,0.41304347826086957,0.5507246376811594,0.7102803738317757,True
0,rbf,0.2,0.73,0.7916666666666666,0.7009345794392523,0.41304347826086957,0.5428571428571429,0.7009345794392523,True
0,rbf,0.2,0.74,0.7916666666666666,0.7009345794392523,0.41304347826086957,0.5428571428571429,0.7009345794392523,True
0,rbf,0.2,0.75,0.7916666666666666,0.7009345794392523,0.41304347826086957,0.5428571428571429,0.7009345794392523,True
0,rbf,0.2,0.76,0.7916666666666666,0.7009345794392523,0.41304347826086957,0.5428571428571429,0.7009345794392523,True
0,rbf,0.2,0.77,0.7916666666666666,0.7009345794392523,0.41304347826086957,0.5428571428571429,0.7009345794392523,True
